sex herdyear abattoir classifier herd age ageQuadrat yearsaison breedcomb prodsystem calfcull controlcull ageVK slaughterCategory branding cccn ccco ccan ccas ccao ccvn ccvo cwcn cwco cwan cwas cwao cwvn cwvo cfcn cfco cfan cfas cfao cfvn cfvo cacn caco caan caas caao cavn cavo Effekt_HeterosisSumHet Effekt_RekombinationSumRec
3 5 3 11 10 328 107584 3 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.54 0 0 0 0 0 0 3 0 0 0 0 0 0 3.28 0 0 0 0 4 4
3 5 3 11 10 326 106276 3 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.38 0 0 0 0 0 0 4 0 0 0 0 0 0 3.26 0 0 0 0 6 2
3 5 3 11 10 319 101761 3 16 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 1.84 0 0 0 0 0 0 3 0 0 0 0 0 0 3.19 0 0 0 0 1 1
2 2 3 11 10 308 94864 1 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.39 0 0 0 0 0 0 3 0 0 0 0 0 0 3.08 0 0 0 0 6 2
2 2 3 17 10 322 103684 1 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.67 0 0 0 0 0 0 2 0 0 0 0 0 0 3.22 0 0 0 0 4 2
3 2 3 17 10 312 97344 1 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 1.89 0 0 0 0 0 0 3 0 0 0 0 0 0 3.12 0 0 0 0 6 2
2 2 3 11 10 318 101124 1 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.72 0 0 0 0 0 0 3 0 0 0 0 0 0 3.18 0 0 0 0 4 4
3 2 3 11 10 333 110889 2 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 1.71 0 0 0 0 0 0 2 0 0 0 0 0 0 3.33 0 0 0 0 6 2
3 2 3 11 10 331 109561 2 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.48 0 0 0 0 0 0 3 0 0 0 0 0 0 3.31 0 0 0 0 6 2
3 2 3 11 10 324 104976 2 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.24 0 0 0 0 0 0 3 0 0 0 0 0 0 3.24 0 0 0 0 4 5
3 2 3 11 10 331 109561 2 17 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.06 0 0 0 0 0 0 3 0 0 0 0 0 0 3.31 0 0 0 0 6 2
2 2 3 11 10 310 96100 2 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.48 0 0 0 0 0 0 3 0 0 0 0 0 0 3.10 0 0 0 0 4 4
1 8 2 12 11 170 28900 3 1 1 0 0 0 KV conventional 0 2 0 0 0 0 0 0 1.48 0 0 0 0 0 0 3 0 0 0 0 0 0 1.70 0 0 0 0 0 2 2
1 9 6 1 12 127 16129 3 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.26 0 0 0 0 0 0 3 0 0 0 0 0 0 1.27 0 0 0 0 0 6 4
3 6 6 19 12 102 10404 3 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.11 0 0 0 0 0 0 3 0 0 0 0 0 0 1.02 0 0 0 0 0 6 3
3 6 6 19 12 101 10201 3 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.14 0 0 0 0 0 0 3 0 0 0 0 0 0 1.01 0 0 0 0 0 6 3
1 6 6 12 12 138 19044 4 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.30 0 0 0 0 0 0 3 0 0 0 0 0 0 1.38 0 0 0 0 0 6 4
1 6 6 12 12 134 17956 4 18 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.43 0 0 0 0 0 0 3 0 0 0 0 0 0 1.34 0 0 0 0 0 4 4
1 1 3 20 1 158 24964 1 1 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.34 0 0 0 0 0 0 3 0 0 0 0 0 0 1.58 0 0 0 0 0 2 2
1 3 1 3 13 401 160801 1 11 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 2.90 0 0 0 0 0 0 3 0 0 0 0 0 0 4.01 0 0 3 4
1 3 3 21 14 341 116281 2 3 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.34 0 0 0 0 0 0 3 0 0 0 0 0 0 3.41 0 0 0 0 6 3
1 10 1 19 15 138 19044 1 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.31 0 0 0 0 0 0 3 0 0 0 0 0 0 1.38 0 0 0 0 0 2 2
1 10 1 19 15 161 25921 2 9 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.17 0 0 0 0 0 0 2 0 0 0 0 0 0 1.61 0 0 0 0 0 2 3
3 10 1 19 15 153 23409 2 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.25 0 0 0 0 0 0 3 0 0 0 0 0 0 1.53 0 0 0 0 0 6 3
1 7 3 6 16 309 95481 2 19 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 2.58 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 6 2
3 11 1 1 17 173 29929 4 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.10 0 0 0 0 0 0 2 0 0 0 0 0 0 1.73 0 0 0 0 0 2 2
1 12 6 12 18 159 25281 1 9 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.13 0 0 0 0 0 0 2 0 0 0 0 0 0 1.59 0 0 0 0 0 2 2
1 12 6 12 18 159 25281 1 9 1 0 0 0 KV conventional 0 2 0 0 0 0 0 0 1.04 0 0 0 0 0 0 1 0 0 0 0 0 0 1.59 0 0 0 0 0 2 3
1 12 6 1 18 130 16900 1 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.33 0 0 0 0 0 0 3 0 0 0 0 0 0 1.30 0 0 0 0 0 2 3
1 12 6 12 18 153 23409 1 9 1 0 0 0 KV conventional 0 1 0 0 0 0 0 0 0.95 0 0 0 0 0 0 1 0 0 0 0 0 0 1.53 0 0 0 0 0 2 3
1 12 6 1 18 140 19600 1 9 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.34 0 0 0 0 0 0 3 0 0 0 0 0 0 1.40 0 0 0 0 0 2 3
1 12 6 12 18 152 23104 1 9 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.06 0 0 0 0 0 0 2 0 0 0 0 0 0 1.52 0 0 0 0 0 2 3
1 8 4 22 1 154 23716 1 1 1 0 0 0 KV conventional 0 2 0 0 0 0 0 0 1.17 0 0 0 0 0 0 3 0 0 0 0 0 0 1.54 0 0 0 0 0 2 2
